id,object,url,data_updated_at,created_at,subject_id,subject_type,meaning_correct,meaning_incorrect,meaning_max_streak,meaning_current_streak,reading_correct,reading_incorrect,reading_max_streak,reading_current_streak,percentage_correct,hidden
341760832,review_statistic,https://api.wanikani.com/v2/review_statistics/341760832,2024-06-21T07:18:14.645769Z,2023-12-29T02:39:44.990029Z,1,radical,8,0,8,8,8,0,8,8,100,False
341764778,review_statistic,https://api.wanikani.com/v2/review_statistics/341764778,2025-01-16T16:58:29.608228Z,2023-12-29T03:31:21.553685Z,3,radical,8,0,8,8,8,0,8,8,100,False
341764781,review_statistic,https://api.wanikani.com/v2/review_statistics/341764781,2025-01-16T17:06:53.420461Z,2023-12-29T03:31:24.802312Z,2,radical,8,0,8,8,8,0,8,8,100,False
341764789,review_statistic,https://api.wanikani.com/v2/review_statistics/341764789,2025-01-13T17:28:26.338193Z,2023-12-29T03:31:29.803928Z,6,radical,8,0,8,8,8,0,8,8,100,False
341764796,review_statistic,https://api.wanikani.com/v2/review_statistics/341764796,2024-06-21T07:19:29.210937Z,2023-12-29T03:31:33.777498Z,5,radical,8,0,8,8,8,0,8,8,100,False
341764920,review_statistic,https://api.wanikani.com/v2/review_statistics/341764920,2024-08-12T07:23:50.096401Z,2023-12-29T03:33:21.208849Z,8,radical,11,1,6,5,11,0,11,11,96,False
341764928,review_statistic,https://api.wanikani.com/v2/review_statistics/341764928,2024-06-22T10:06:55.032055Z,2023-12-29T03:33:27.553347Z,18,radical,8,0,8,8,8,0,8,8,100,False
341764936,review_statistic,https://api.wanikani.com/v2/review_statistics/341764936,2024-06-21T03:29:05.409093Z,2023-12-29T03:33:34.462743Z,7,radical,8,0,8,8,8,0,8,8,100,False
341764942,review_statistic,https://api.wanikani.com/v2/review_statistics/341764942,2025-02-04T14:04:28.578610Z,2023-12-29T03:33:37.825989Z,12,radical,8,0,8,8,8,0,8,8,100,False
341764947,review_statistic,https://api.wanikani.com/v2/review_statistics/341764947,2025-01-22T17:47:40.026093Z,2023-12-29T03:33:41.495049Z,9,radical,8,0,8,8,8,0,8,8,100,False
341765068,review_statistic,https://api.wanikani.com/v2/review_statistics/341765068,2025-03-15T07:51:24.516408Z,2023-12-29T03:35:40.713821Z,14,radical,8,0,8,8,8,0,8,8,100,False
341765072,review_statistic,https://api.wanikani.com/v2/review_statistics/341765072,2024-06-22T10:13:29.798343Z,2023-12-29T03:35:44.147619Z,13,radical,12,3,8,8,12,0,12,12,89,False
341765075,review_statistic,https://api.wanikani.com/v2/review_statistics/341765075,2024-06-21T02:59:44.823678Z,2023-12-29T03:35:47.075109Z,16,radical,8,0,8,8,8,0,8,8,100,False
341765079,review_statistic,https://api.wanikani.com/v2/review_statistics/341765079,2024-06-21T02:58:46.250525Z,2023-12-29T03:35:51.461327Z,4,radical,8,0,8,8,8,0,8,8,100,False
341765082,review_statistic,https://api.wanikani.com/v2/review_statistics/341765082,2025-01-22T18:38:23.521967Z,2023-12-29T03:35:54.334281Z,19,radical,8,0,8,8,8,0,8,8,100,False
341765174,review_statistic,https://api.wanikani.com/v2/review_statistics/341765174,2024-06-22T00:34:02.212466Z,2023-12-29T03:37:05.073139Z,15,radical,8,0,8,8,8,0,8,8,100,False
341765178,review_statistic,https://api.wanikani.com/v2/review_statistics/341765178,2025-01-16T17:21:54.632805Z,2023-12-29T03:37:11.360368Z,20,radical,8,0,8,8,8,0,8,8,100,False
341765181,review_statistic,https://api.wanikani.com/v2/review_statistics/341765181,2025-01-22T17:59:40.608246Z,2023-12-29T03:37:14.468101Z,21,radical,8,0,8,8,8,0,8,8,100,False
341765185,review_statistic,https://api.wanikani.com/v2/review_statistics/341765185,2024-06-22T10:05:36.116710Z,2023-12-29T03:37:16.551031Z,23,radical,8,0,8,8,8,0,8,8,100,False
341765191,review_statistic,https://api.wanikani.com/v2/review_statistics/341765191,2024-06-22T10:09:04.395705Z,2023-12-29T03:37:23.483147Z,25,radical,8,0,8,8,8,0,8,8,100,False
341765242,review_statistic,https://api.wanikani.com/v2/review_statistics/341765242,2025-01-22T18:09:04.237153Z,2023-12-29T03:38:28.460179Z,22,radical,8,0,8,8,8,0,8,8,100,False
341765245,review_statistic,https://api.wanikani.com/v2/review_statistics/341765245,2024-06-22T10:13:27.831960Z,2023-12-29T03:38:30.314030Z,11,radical,10,1,8,8,10,0,10,10,95,False
341765248,review_statistic,https://api.wanikani.com/v2/review_statistics/341765248,2025-03-15T07:51:24.566241Z,2023-12-29T03:38:33.607651Z,8762,radical,8,0,8,8,8,0,8,8,100,False
341765251,review_statistic,https://api.wanikani.com/v2/review_statistics/341765251,2025-01-22T18:06:52.833673Z,2023-12-29T03:38:37.066226Z,8761,radical,11,1,7,4,11,0,11,11,96,False
341765256,review_statistic,https://api.wanikani.com/v2/review_statistics/341765256,2025-02-27T16:48:35.910923Z,2023-12-29T03:38:41.645797Z,10,radical,8,0,8,8,8,0,8,8,100,False
342256115,review_statistic,https://api.wanikani.com/v2/review_statistics/342256115,2024-06-27T10:58:50.228788Z,2024-01-02T04:07:31.761265Z,440,kanji,8,0,8,8,8,0,8,8,100,False
342256151,review_statistic,https://api.wanikani.com/v2/review_statistics/342256151,2025-02-04T13:08:39.710957Z,2024-01-02T04:07:54.581877Z,443,kanji,8,0,8,8,8,0,8,8,100,False
342256203,review_statistic,https://api.wanikani.com/v2/review_statistics/342256203,2025-02-05T19:32:30.176264Z,2024-01-02T04:08:44.288768Z,445,kanji,9,0,9,9,9,1,9,9,95,False
342256257,review_statistic,https://api.wanikani.com/v2/review_statistics/342256257,2024-07-03T16:36:38.434725Z,2024-01-02T04:09:20.765950Z,441,kanji,8,0,8,8,8,0,8,8,100,False
342256297,review_statistic,https://api.wanikani.com/v2/review_statistics/342256297,2025-02-04T14:20:51.878166Z,2024-01-02T04:09:44.268273Z,444,kanji,8,0,8,8,8,0,8,8,100,False
342256822,review_statistic,https://api.wanikani.com/v2/review_statistics/342256822,2024-06-27T11:04:41.575654Z,2024-01-02T04:17:21.582640Z,449,kanji,8,0,8,8,8,0,8,8,100,False
342256839,review_statistic,https://api.wanikani.com/v2/review_statistics/342256839,2024-06-27T03:32:13.025166Z,2024-01-02T04:17:28.401481Z,446,kanji,8,0,8,8,8,0,8,8,100,False
342256973,review_statistic,https://api.wanikani.com/v2/review_statistics/342256973,2024-06-29T03:33:00.436879Z,2024-01-02T04:18:37.012603Z,448,kanji,9,0,9,9,9,2,9,9,90,False
